train_loss,train_acc,val_loss,val_acc,lr,model_params,MFLOPs,test_loss,test_acc,f1_score,recall
0.0433016583,0.7625000000,0.0314285395,0.8593750000,0.0005000000,7337002,270.2007040000,0.0304777307,0.9895833333,0.9897796488,0.9893817204
0.0209644828,0.9583333333,0.0185344309,0.9427083333,0.0005000000,7337002,270.2007040000,0.0304777307,0.9895833333,0.9897796488,0.9893817204
0.0103712431,0.9937500000,0.0100827065,0.9635416667,0.0005000000,7337002,270.2007040000,0.0304777307,0.9895833333,0.9897796488,0.9893817204
0.0043790791,0.9979166667,0.0054077879,0.9895833333,0.0005000000,7337002,270.2007040000,0.0304777307,0.9895833333,0.9897796488,0.9893817204
0.0022237563,1.0000000000,0.0045685201,0.9739583333,0.0005000000,7337002,270.2007040000,0.0304777307,0.9895833333,0.9897796488,0.9893817204
0.0014110433,1.0000000000,0.0041345387,0.9895833333,0.0005000000,7337002,270.2007040000,0.0304777307,0.9895833333,0.9897796488,0.9893817204
0.0007909639,1.0000000000,0.0039890935,0.9791666667,0.0005000000,7337002,270.2007040000,0.0304777307,0.9895833333,0.9897796488,0.9893817204
0.0005915846,1.0000000000,0.0033636188,0.9895833333,0.0005000000,7337002,270.2007040000,0.0304777307,0.9895833333,0.9897796488,0.9893817204
0.0005009146,1.0000000000,0.0036067925,0.9739583333,0.0005000000,7337002,270.2007040000,0.0304777307,0.9895833333,0.9897796488,0.9893817204
0.0004005280,1.0000000000,0.0023700769,0.9895833333,0.0005000000,7337002,270.2007040000,0.0304777307,0.9895833333,0.9897796488,0.9893817204
0.0002947489,1.0000000000,0.0026982970,0.9843750000,0.0005000000,7337002,270.2007040000,0.0304777307,0.9895833333,0.9897796488,0.9893817204
0.0002483683,1.0000000000,0.0027491407,0.9895833333,0.0005000000,7337002,270.2007040000,0.0304777307,0.9895833333,0.9897796488,0.9893817204
0.0002481359,1.0000000000,0.0033030208,0.9791666667,0.0005000000,7337002,270.2007040000,0.0304777307,0.9895833333,0.9897796488,0.9893817204
0.0002159652,1.0000000000,0.0025674453,0.9687500000,0.0005000000,7337002,270.2007040000,0.0304777307,0.9895833333,0.9897796488,0.9893817204
0.0002035685,1.0000000000,0.0034382159,0.9791666667,0.0005000000,7337002,270.2007040000,0.0304777307,0.9895833333,0.9897796488,0.9893817204
0.0002042714,1.0000000000,0.0025636457,0.9843750000,0.0005000000,7337002,270.2007040000,0.0304777307,0.9895833333,0.9897796488,0.9893817204
0.0001451001,1.0000000000,0.0020786178,0.9843750000,0.0005000000,7337002,270.2007040000,0.0304777307,0.9895833333,0.9897796488,0.9893817204
0.0001180350,1.0000000000,0.0022727408,0.9739583333,0.0005000000,7337002,270.2007040000,0.0304777307,0.9895833333,0.9897796488,0.9893817204
0.0001393815,1.0000000000,0.0034924298,0.9739583333,0.0005000000,7337002,270.2007040000,0.0304777307,0.9895833333,0.9897796488,0.9893817204
0.0001351836,1.0000000000,0.0023151925,0.9843750000,0.0005000000,7337002,270.2007040000,0.0304777307,0.9895833333,0.9897796488,0.9893817204
0.0001050858,1.0000000000,0.0031888981,0.9687500000,0.0005000000,7337002,270.2007040000,0.0304777307,0.9895833333,0.9897796488,0.9893817204
0.0000891223,1.0000000000,0.0025693004,0.9843750000,0.0005000000,7337002,270.2007040000,0.0304777307,0.9895833333,0.9897796488,0.9893817204
0.0000781264,1.0000000000,0.0024901493,0.9791666667,0.0005000000,7337002,270.2007040000,0.0304777307,0.9895833333,0.9897796488,0.9893817204
0.0000702317,1.0000000000,0.0023001161,0.9687500000,0.0005000000,7337002,270.2007040000,0.0304777307,0.9895833333,0.9897796488,0.9893817204
0.0000809360,1.0000000000,0.0025033079,0.9791666667,0.0005000000,7337002,270.2007040000,0.0304777307,0.9895833333,0.9897796488,0.9893817204
0.0000618245,1.0000000000,0.0021482043,0.9791666667,0.0005000000,7337002,270.2007040000,0.0304777307,0.9895833333,0.9897796488,0.9893817204
0.0000628740,1.0000000000,0.0016925122,0.9791666667,0.0005000000,7337002,270.2007040000,0.0304777307,0.9895833333,0.9897796488,0.9893817204
0.0000554658,1.0000000000,0.0022414947,0.9791666667,0.0005000000,7337002,270.2007040000,0.0304777307,0.9895833333,0.9897796488,0.9893817204
0.0000565994,1.0000000000,0.0021365385,0.9791666667,0.0005000000,7337002,270.2007040000,0.0304777307,0.9895833333,0.9897796488,0.9893817204
0.0000478837,1.0000000000,0.0016094050,0.9895833333,0.0005000000,7337002,270.2007040000,0.0304777307,0.9895833333,0.9897796488,0.9893817204
0.0000519230,1.0000000000,0.0020551669,0.9791666667,0.0005000000,7337002,270.2007040000,0.0304777307,0.9895833333,0.9897796488,0.9893817204
0.0000466153,1.0000000000,0.0017995840,0.9843750000,0.0005000000,7337002,270.2007040000,0.0304777307,0.9895833333,0.9897796488,0.9893817204
0.0000388125,1.0000000000,0.0019460480,0.9739583333,0.0005000000,7337002,270.2007040000,0.0304777307,0.9895833333,0.9897796488,0.9893817204
0.0000367812,1.0000000000,0.0028481446,0.9687500000,0.0005000000,7337002,270.2007040000,0.0304777307,0.9895833333,0.9897796488,0.9893817204
0.0000350538,1.0000000000,0.0044485245,0.9687500000,0.0005000000,7337002,270.2007040000,0.0304777307,0.9895833333,0.9897796488,0.9893817204
0.0000398891,1.0000000000,0.0018645923,0.9791666667,0.0005000000,7337002,270.2007040000,0.0304777307,0.9895833333,0.9897796488,0.9893817204
0.0000337548,1.0000000000,0.0018607684,0.9739583333,0.0005000000,7337002,270.2007040000,0.0304777307,0.9895833333,0.9897796488,0.9893817204
0.0000310062,1.0000000000,0.0023248070,0.9843750000,0.0005000000,7337002,270.2007040000,0.0304777307,0.9895833333,0.9897796488,0.9893817204
0.0000391427,1.0000000000,0.0032001772,0.9739583333,0.0005000000,7337002,270.2007040000,0.0304777307,0.9895833333,0.9897796488,0.9893817204
0.0000293037,1.0000000000,0.0030545237,0.9687500000,0.0005000000,7337002,270.2007040000,0.0304777307,0.9895833333,0.9897796488,0.9893817204
